,st,occ_code,occ_title,tot_emp,h_mean,a_mean,year
14569,MA,98314,"Helpers, Painters, Paperhangers, Plasterers, and Stucco Masons",170,12.28,25540,1997
14570,MA,98315,"Helpers, Plumbers, Pipefitters, and Steamfitters",890,11.35,23620,1997
14571,MA,98316,"Helpers, Roofers",240,10.15,21120,1997
14572,MA,98319,"Helpers, All Other Construction Trades Workers",420,14.01,29140,1997
14573,MA,98323,"Helpers, Extractive Workers",110,8.63,17940,1997
14574,MA,98502,Machine Feeders and Offbearers,3060,9.70,20170,1997
14575,MA,98705,Refuse and Recyclable Material Collectors,940,11.73,24400,1997
14576,MA,98799,"All Other Freight, Stock, and Material Movers, Hand",13220,10.57,21970,1997
14577,MA,98902,Hand Packers and Packagers,23440,7.65,15910,1997
14578,MA,98905,Vehicle Washers and Equipment Cleaners,3100,8.81,18330,1997
14579,MA,98999,"All Other Helpers, Laborers, and Material Movers, Hand",19960,11.63,24190,1997
14580,MI,10000,Managerial and Administrative Occupations,,,,
14581,MI,13000,Staff and Administrative Specialty Managerial Occupations,**,20.2,42010,1997
14582,MI,13002,Financial Managers,23600,27.23,56630,1997
14583,MI,13005,"Personnel, Training, and Labor Relations Managers",8290,25.72,53490,1997
14584,MI,13008,Purchasing Managers,6980,22.23,46240,1997
14585,MI,13011,"Marketing, Advertising, and Public Relations Managers",14980,27.16,56490,1997
14586,MI,13014,Administrative Services Managers,10520,21.05,43790,1997
14587,MI,13017,"Engineering, Mathematical, and Natural Sciences Managers",11620,33.36,69390,1997
14588,MI,15000,Line and Middle Management Industry Specific Managerial Occupations,**,22.17,46110,1997
14589,MI,15005,Education Administrators,12070,28.71,59710,1997
14590,MI,15008,Medicine and Health Services Managers,6930,24.61,51190,1997
14591,MI,15011,Property and Real Estate Managers and Administrators,3610,17.15,35660,1997
14592,MI,15014,Industrial Production Managers,12450,29.04,60400,1997
14593,MI,15017,Construction Managers,6380,23.90,49720,1997
14594,MI,15021,"Mining, Quarrying, and Oil and Gas Well Drilling Managers",200,22.45,46700,1997
14595,MI,15032,Lawn Service Managers,930,12.66,26340,1997
14596,MI,19000,Other Managerial and Administrative Occupations,**,20.83,43330,1997
14597,MI,19002,"Public Administration Chief Executives, Legislators, and General Administrators",3750,19.30,40150,1997
14598,MI,19005,General Managers and Top Executives,108620,29.38,61100,1997
14599,MI,19999,All Other Managers and Administrators,29710,26.38,54860,1997
14600,MI,20000,"Professional, Paraprofessional, and Technical Occupations",,,,
14601,MI,21000,Management Support Occupations,**,15.54,32310,1997
14602,MI,21105,Credit Analysts,1080,15.74,32730,1997
14603,MI,21108,Loan Officers and Counselors,7020,19.31,40170,1997
14604,MI,21111,Tax Preparers,2070,15.90,33070,1997
14605,MI,21114,Accountants and Auditors,28420,20.18,41970,1997
14606,MI,21117,Budget Analysts,1210,21.29,44290,1997
14607,MI,21199,All Other Financial Specialists,8120,22.61,47020,1997
14608,MI,21308,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",8430,21.42,44550,1997
14609,MI,21505,"Special Agents, Insurance",560,26.85,55850,1997
14610,MI,21511,"Personnel, Training, and Labor Relations Specialists",13030,19.80,41180,1997
14611,MI,21902,Cost Estimators,6120,22.29,46360,1997
14612,MI,21911,"Compliance Officers and Enforcement Inspectors, Except Construction",3040,18.84,39180,1997
14613,MI,21917,Assessors,1230,15.04,31280,1997
14614,MI,21999,All Other Management Support Workers,25090,23.14,48120,1997
14615,MI,22000,Engineers and Related Occupations,**,*,*,1997
14616,MI,22102,Aeronautical and Astronautical Engineers,**,31.00,64480,1997
14617,MI,22117,Nuclear Engineers,**,28.55,59390,1997
14618,MI,22121,"Civil Engineers, Including Traffic",3170,23.39,48650,1997
14619,MI,22126,Electrical and Electronic Engineers,8340,25.62,53300,1997
14620,MI,22128,"Industrial Engineers, Except Safety",9290,27.44,57080,1997
14621,MI,22132,"Safety Engineers, Except Mining",520,23.72,49330,1997
14622,MI,22199,All Other Engineers,42560,28.74,59780,1997
14623,MI,22502,Civil Engineering Technicians and Technologists,1250,15.10,31400,1997
14624,MI,22505,Electrical and Electronic Engineering Technicians and Technologists,10290,18.47,38420,1997
14625,MI,22508,Industrial Engineering Technicians and Technologists,1180,19.36,40270,1997
14626,MI,22517,"Estimators and Drafters, Utilities",130,22.01,45790,1997
14627,MI,22599,All Other Engineering and Related Technicians and Technologists,16400,20.71,43070,1997
14628,MI,24000,Natural Scientists and Related Occupations,**,*,*,1997
14629,MI,24199,All Other Physical Scientists,2300,27.68,57580,1997
14630,MI,24302,Foresters and Conservation Scientists,1360,19.74,41070,1997
14631,MI,24305,Agricultural and Food Scientists,270,22.38,46560,1997
14632,MI,24308,Biological Scientists,730,22.77,47350,1997
14633,MI,24311,Medical Scientists,230,24.18,50300,1997
14634,MI,24399,All Other Life Scientists,1150,22.27,46330,1997
14635,MI,24599,All Other Physical and Life Science Technicians and Technologists,2790,16.32,33940,1997
14636,MI,25000,"Computer, Mathematical, Operations Research, and Related Occupations",**,17.79,37010,1997
14637,MI,25102,"Systems Analysts, Electronic Data Processing",18570,22.44,46680,1997
14638,MI,25105,Computer Programmers,16500,23.07,47990,1997
14639,MI,25108,Computer Programmer Aides,1200,15.23,31680,1997
14640,MI,25199,All Other Computer Scientists,1810,25.83,53720,1997
14641,MI,25302,"Operations and Systems Researchers and Analysts, Except Computer",1410,23.12,48090,1997
14642,MI,27000,"Social Scientists and Other Social, Recreational, and Religious Occupations",**,19.34,40220,1997
14643,MI,27199,All Other Social Scientists,1000,13.95,29010,1997
14644,MI,27305,"Social Workers, Except Medical and Psychiatric",10440,16.62,34570,1997
14645,MI,27307,Residential Counselors,3960,12.34,25670,1997
14646,MI,27311,Recreation Workers,5840,8.85,18400,1997
14647,MI,27599,All Other Religious Workers,590,9.27,19280,1997
14648,MI,28000,Law and Related Occupations,**,*,*,1997
14649,MI,28102,Judges and Magistrates,1480,32.42,67430,1997
14650,MI,28302,Law Clerks,**,9.23,19210,1997
14651,MI,28305,Paralegal Personnel,2030,15.14,31500,1997
14652,MI,28311,Title Examiners and Abstractors,540,11.94,24830,1997
14653,MI,28399,"All Other Legal Assistants and Technicians, Except Clerical",880,14.87,30920,1997
14654,MI,31000,"Teachers, Educators, Librarians, and Related Occupations",**,8.92,18560,1997
14655,MI,31117,"Graduate Assistants, Teaching",**,*,17400,1997
14656,MI,31201,"Agricultural Sciences Teachers, Postsecondary",**,*,60470,1997
14657,MI,31202,"Life Sciences Teachers, Postsecondary",1390,*,48120,1997
14658,MI,31204,"Chemistry Teachers, Postsecondary",500,*,47880,1997
14659,MI,31209,"All Other Physical Sciences Teachers, Postsecondary",390,*,50660,1997
14660,MI,31211,"Health Diagnostics Teachers, Postsecondary",880,*,74010,1997
14661,MI,31212,"Health Assessment and Treatment Teachers, Postsecondary",750,*,32660,1997
14662,MI,31213,"Communications Teachers, Postsecondary",690,*,37630,1997
14663,MI,31214,"English Language and Literature Teachers, Postsecondary",2110,*,42300,1997
14664,MI,31215,"Foreign Language and Literature Teachers, Postsecondary",1020,*,43800,1997
14665,MI,31218,"Art, Drama, and Music Teachers, Postsecondary",1840,*,42560,1997
14666,MI,31222,"Engineering Teachers, Postsecondary",1360,*,62720,1997
14667,MI,31223,"Architecture Teachers, Postsecondary",**,*,38080,1997
14668,MI,31224,"Mathematical Sciences Teachers, Postsecondary",1510,*,45270,1997
14669,MI,31226,"Computer Science Teachers, Postsecondary",760,*,38370,1997
14670,MI,31231,"Anthropology and Sociology Teachers, Postsecondary",750,*,50570,1997
14671,MI,31233,"Economics Teachers, Postsecondary",420,*,56650,1997
14672,MI,31234,"Geography Teachers, Postsecondary",210,*,55080,1997
14673,MI,31235,"History Teachers, Postsecondary",430,*,48940,1997
14674,MI,31236,"Political Science Teachers, Postsecondary",360,*,50290,1997
14675,MI,31237,"Psychology Teachers, Postsecondary",640,*,44930,1997
14676,MI,31239,"All Other Social Sciences Teachers, Postsecondary",**,*,55860,1997
14677,MI,31242,"Business Teachers, Postsecondary",2940,*,49030,1997
14678,MI,31244,"Law Teachers, Postsecondary",130,*,35200,1997
14679,MI,31246,"Criminal Justice and Law Enforcement Teachers, Postsecondary",320,*,45560,1997
14680,MI,31247,"Social Work Teachers, Postsecondary",230,*,37870,1997
14681,MI,31252,"Education Teachers, Postsecondary",880,*,44670,1997
14682,MI,31254,"Philosophy and Religion Teachers, Postsecondary",370,*,44160,1997
14683,MI,31258,"Parks, Recreation, Leisure, and Fitness Studies Teachers, Postsecondary",270,*,51010,1997
14684,MI,31262,"Home Economics Teachers, Postsecondary",130,*,42750,1997
14685,MI,31299,All Other Postsecondary Teachers,9060,*,61000,1997
14686,MI,31303,"Teachers, Preschool",6770,9.30,19350,1997
14687,MI,31304,"Teachers, Kindergarten",4870,*,36010,1997
14688,MI,31305,"Teachers, Elementary School",53780,*,39100,1997
14689,MI,31308,"Teachers, Secondary School",44260,*,43730,1997
14690,MI,31311,"Teachers, Special Education",12020,*,44540,1997
14691,MI,31317,"Instructors, Nonvocational Education",3450,10.77,22390,1997
14692,MI,31399,All Other Teachers and Instructors,6580,*,31750,1997
14693,MI,31502,"Librarians, Professional",4440,19.62,40810,1997
14694,MI,31514,Vocational and Educational Counselors,4890,21.31,44320,1997
14695,MI,31517,Instructional Coordinators,2660,21.39,44500,1997
14696,MI,32000,"Health Practitioners, Technologists, Technicians, and Related Health Occupations",**,*,*,1997
14697,MI,32102,Physicians and Surgeons,19260,48.91,101740,1997
14698,MI,32105,Dentists,3440,47.26,98300,1997
14699,MI,32111,Podiatrists,370,46.82,97380,1997
14700,MI,32113,Chiropractors,630,25.08,52180,1997
14701,MI,32114,Veterinarians and Veterinary Inspectors,1280,29.70,61770,1997
14702,MI,32199,All Other Health Diagnosing and Treating Practitioners,**,14.33,29800,1997
14703,MI,32302,Respiratory Therapists,2600,16.27,33840,1997
14704,MI,32305,Occupational Therapists,2560,22.60,47010,1997
14705,MI,32399,All Other Therapists,1090,17.97,37370,1997
14706,MI,32502,Registered Nurses,68860,19.94,41480,1997
14707,MI,32505,Licensed Practical Nurses,18520,13.48,28050,1997
14708,MI,32519,Pharmacy Technicians and Aides,5780,8.34,17340,1997
14709,MI,32521,Dietitians and Nutritionists,1240,17.82,37060,1997
14710,MI,32905,Medical and Clinical Laboratory Technicians,3550,14.38,29920,1997
14711,MI,32908,Dental Hygienists,7290,20.09,41800,1997
14712,MI,32911,Medical Records Technicians,2320,10.03,20870,1997
14713,MI,32913,Radiation Therapists,420,20.80,43270,1997
14714,MI,32914,Nuclear Medicine Technologists,520,18.86,39230,1997
14715,MI,32919,Radiologic Technologists,5590,15.45,32130,1997
14716,MI,32923,Electroneurodiagnostic Technologists,360,14.81,30810,1997
14717,MI,32925,Cardiology Technologists,1030,16.93,35210,1997
14718,MI,32951,Veterinary Technicians and Technologists,930,9.48,19720,1997
14719,MI,32999,"All Other Health Professionals, Paraprofessionals, and Technicians",25500,15.51,32270,1997
14720,MI,34000,"Writers, Artists, Entertainers, Athletes, and Related Occupations",**,*,*,1997
14721,MI,34002,Writers and Editors,2710,18.86,39220,1997
14722,MI,34005,Technical Writers and Editors,1840,19.09,39710,1997
14723,MI,34011,Reporters and Correspondents,1250,19.78,41140,1997
14724,MI,34014,Broadcast News Analysts,230,27.70,57620,1997
14725,MI,34017,"Announcers, Radio and Television",1470,8.78,18270,1997
14726,MI,34023,Photographers,2010,11.40,23710,1997
14727,MI,34026,"Camera Operators, Television and Motion Picture",290,17.77,36960,1997
14728,MI,34028,Broadcast Technicians,910,27.18,56540,1997
14729,MI,34032,Film Editors,120,23.86,49620,1997
14730,MI,34038,"Designers, Except Interior Designers",13220,20.82,43300,1997
14731,MI,34056,"Producers, Directors, Actors, and Other Entertainers",1570,*,30290,1997
14732,MI,34058,"Athletes, Coaches, Umpires, and Related Workers",500,*,61560,1997
14733,MI,39000,"Other Professional, Paraprofessional, and Technical Occupations",**,9.7,20170,1997
14734,MI,39002,Airplane Dispatchers and Air Traffic Controllers,670,23.94,49800,1997
14735,MI,39011,Funeral Directors and Morticians,810,22.42,46640,1997
14736,MI,39999,"All Other Professional, Paraprofessional, and Technical Workers",49870,22.17,46110,1997
14737,MI,40000,Sales and Related Occupations,,,,
14738,MI,41000,First Line Supervisors and Manager/Supervisors - Sales Workers,**,11.94,24840,1997
14739,MI,41002,First-Line Supervisors and Managers/Supervisors - Sales and Related Workers,52620,16.21,33720,1997
14740,MI,43000,"Sales Occupations, Services",**,11.17,23240,1997
14741,MI,43005,"Brokers, Real Estate",420,27.39,56960,1997
14742,MI,43008,"Sales Agents, Real Estate",1770,17.53,36470,1997
14743,MI,43021,Travel Agents,3280,10.79,22450,1997
14744,MI,43023,"Sales Agents, Advertising",3890,18.11,37660,1997
14745,MI,43099,"All Other Sales Representatives and Salespersons, Services",3000,17.80,37020,1997
14746,MI,49000,"Merchandise, Products, and Other Sales and Sales Related Occupations",**,15.7,32660,1997
14747,MI,49002,Sales Engineers,4040,28.52,59310,1997
14748,MI,49005,"Sales Representatives, Scientific and Related Products and Services, Except Retail",13280,24.50,50960,1997
14749,MI,49008,"Sales Representatives, Except Retail and Scientific and Related Products and Services",35610,20.36,42340,1997
14750,MI,49011,"Salespersons, Retail",144490,8.68,18050,1997
14751,MI,49014,"Salespersons, Parts",11550,12.19,25360,1997
14752,MI,49017,Counter and Rental Clerks,15390,7.50,15590,1997
14753,MI,49021,"Stock Clerks, Sales Floor",53710,7.57,15740,1997
14754,MI,49023,Cashiers,102590,7.21,15000,1997
14755,MI,49026,"Telemarketers, Door-To-Door Sales Workers, News and Street Vendors, and Other Related Workers",7400,10.40,21630,1997
14756,MI,49034,Demonstrators and Promoters,**,9.73,20230,1997
14757,MI,49999,All Other Sales and Related Workers,26050,12.45,25890,1997
14758,MI,50000,Clerical and Administrative Support Occupations,,,,
14759,MI,51000,First Line Supervisors and Manager/Supervisors - Clerical Workers,**,14.24,29620,1997
14760,MI,51002,First-Line Supervisors and Managers/Supervisors - Clerical and Administrative Support Workers,40110,15.88,33030,1997
14761,MI,53000,Industry Specific Clerical and Administrative Support Occupations,**,12.21,25390,1997
14762,MI,53102,Tellers,17850,8.22,17090,1997
14763,MI,53105,New Accounts Clerks,2290,10.06,20910,1997
14764,MI,53108,Transit Clerks,140,8.98,18670,1997
14765,MI,53114,Credit Authorizers,400,10.72,22300,1997
14766,MI,53117,Credit Checkers,570,10.87,22610,1997
14767,MI,53121,Loan and Credit Clerks,4900,10.65,22150,1997
14768,MI,53128,Brokerage Clerks,1170,11.55,24020,1997
14769,MI,53302,"Insurance Adjusters, Examiners, and Investigators",5520,22.38,46550,1997
14770,MI,53305,"Insurance Appraisers, Auto Damage",**,18.69,38880,1997
14771,MI,53308,Insurance Examining Clerks,210,11.84,24620,1997
14772,MI,53314,Insurance Policy Processing Clerks,5270,12.07,25120,1997
14773,MI,53505,"Investigators, Clerical",300,12.99,27010,1997
14774,MI,53702,Court Clerks,2360,13.59,28260,1997
14775,MI,53705,Municipal Clerks,1010,13.16,27370,1997
14776,MI,53802,Travel Clerks,320,9.76,20290,1997
14777,MI,53808,Hotel Desk Clerks,3850,6.90,14360,1997
14778,MI,53902,Library Assistants and Bookmobile Drivers,4400,8.77,18230,1997
14779,MI,53905,"Teacher Aides and Educational Assistants, Clerical",15570,7.98,16590,1997
14780,MI,53908,Advertising Clerks,300,11.25,23390,1997
14781,MI,53911,Proofreaders and Copy Markers,1480,8.36,17390,1997
14782,MI,53914,Real Estate Clerks,630,10.79,22440,1997
14783,MI,55000,Secretarial and General Office Occupations,**,*,*,1997
14784,MI,55102,Legal Secretaries,8660,13.16,27380,1997
14785,MI,55105,Medical Secretaries,6490,10.29,21410,1997
14786,MI,55108,"Secretaries, Except Legal and Medical",87170,11.43,23770,1997
14787,MI,55302,Stenographers and/or Court Reporters,2570,13.23,27520,1997
14788,MI,55305,Receptionists and Information Clerks,40440,8.73,18160,1997
14789,MI,55307,"Typists, Including Word Processing",14650,10.82,22500,1997
14790,MI,55314,"Personnel Clerks, Except Payroll and Timekeeping",3050,12.09,25150,1997
14791,MI,55317,Correspondence Clerks,730,10.75,22350,1997
14792,MI,55321,File Clerks,8200,7.85,16330,1997
14793,MI,55323,"Order Clerks, Materials, Merchandise, and Service",11940,10.59,22020,1997
14794,MI,55326,Procurement Clerks,2230,10.86,22600,1997
14795,MI,55328,Statistical Clerks,2130,11.23,23360,1997
14796,MI,55332,"Interviewing Clerks, Except Personnel and Social Welfare",3430,10.08,20970,1997
14797,MI,55338,"Bookkeeping, Accounting, and Auditing Clerks",55990,11.27,23440,1997
14798,MI,55344,"Billing, Cost, and Rate Clerks",11670,11.33,23560,1997
14799,MI,55347,General Office Clerks,87320,9.99,20770,1997
14800,MI,56000,Electronic Data Processing and Other Office Machine Occupations,**,*,*,1997
14801,MI,56014,Peripheral EDP Equipment Operators,630,10.89,22640,1997
14802,MI,56017,"Data Entry Keyers, Except Composing",10890,9.16,19040,1997
14803,MI,56099,All Other Office Machine Operators,2820,11.88,24720,1997
14804,MI,58000,"Material Recording, Scheduling, Dispatching, and Distributing Occupations",**,*,*,1997
14805,MI,58002,"Dispatchers, Police, Fire, and Ambulance",2020,12.60,26200,1997
14806,MI,58005,"Dispatchers, Except Police, Fire, and Ambulance",4120,14.13,29390,1997
14807,MI,58008,"Production, Planning, and Expediting Clerks",8820,16.48,34270,1997
14808,MI,58011,Transportation Agents,170,11.92,24800,1997
14809,MI,58017,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",3880,17.84,37100,1997
14810,MI,58023,"Stock Clerks - Stockroom, Warehouse or Storage Yard",28530,11.11,23110,1997
14811,MI,58026,"Order Fillers, Wholesale and Retail Sales",6070,9.95,20690,1997
14812,MI,58028,"Shipping, Receiving, and Traffic Clerks",34340,12.35,25690,1997
14813,MI,58099,"All Other Material Recording, Scheduling, and Distributing Workers",4300,13.56,28200,1997
14814,MI,59000,Other Clerical and Administrative Support Occupations,**,*,*,1997
14815,MI,59999,All Other Clerical and Administrative Support Workers,42020,11.81,24570,1997
14816,MI,60000,Service Occupations,,,,
14817,MI,61000,First-Line Supervisors and Managers/Supervisors - Service Occupations,**,*,*,1997
14818,MI,61002,Fire Fighting and Prevention Supervisors,1270,20.88,43440,1997
14819,MI,61005,Police and Detective Supervisors,2410,25.57,53190,1997
14820,MI,61008,Housekeeping Supervisors,2720,9.47,19700,1997
14821,MI,61099,All Other Supervisors and Managers/Supervisors - Service Workers,21220,12.61,26220,1997
14822,MI,63000,Protective Service Occupations,**,*,*,1997
14823,MI,63002,Fire Inspectors,280,20.52,42680,1997
14824,MI,63011,Police Detectives,1590,24.62,51200,1997
14825,MI,63017,Correction Officers and Jailers,14070,16.91,35160,1997
14826,MI,63021,Parking Enforcement Officers,130,12.46,25930,1997
14827,MI,63035,"Detectives and Investigators, Except Public",2550,11.57,24060,1997
14828,MI,63044,Crossing Guards,2180,7.04,14640,1997
14829,MI,63047,Guards and Watch Guards,27070,8.38,17430,1997
14830,MI,63099,All Other Protective Service Workers,7460,8.25,17170,1997
14831,MI,65000,Food and Beverage Preparation and Service Occupations,**,*,*,1997
14832,MI,65008,Waiters and Waitresses,79330,5.72,11910,1997
14833,MI,65011,"Food Servers, Outside",1670,7.99,16610,1997
14834,MI,65014,Dining Room and Cafeteria Attendants and Bartender Helpers,13340,6.58,13690,1997
14835,MI,65017,"Counter Attendants - Lunchroom, Coffee Shop, or Cafeteria",9090,6.56,13650,1997
14836,MI,65021,"Bakers, Bread and Pastry",6690,8.54,17750,1997
14837,MI,65028,"Cooks, Institution or Cafeteria",10350,8.83,18360,1997
14838,MI,65032,"Cooks, Fast Food",17250,6.18,12840,1997
14839,MI,65035,"Cooks, Short Order",9700,7.27,15130,1997
14840,MI,65038,Food Preparation Workers,45940,7.28,15150,1997
14841,MI,65041,Combined Food Preparation and Service Workers,59590,6.60,13730,1997
14842,MI,65099,All Other Food Service Workers,11850,7.55,15700,1997
14843,MI,66000,Health Service and Related Occupations,**,*,*,1997
14844,MI,66002,Dental Assistants,8550,10.72,22300,1997
14845,MI,66005,Medical Assistants,11360,9.33,19420,1997
14846,MI,66008,"Nursing Aides, Orderlies, and Attendants",41910,8.31,17280,1997
14847,MI,66011,Home Health Aides,16340,8.25,17150,1997
14848,MI,66017,Physical and Corrective Therapy Assistants and Aides,3020,12.21,25390,1997
14849,MI,66021,Occupational Therapy Assistants and Aides,460,12.99,27020,1997
14850,MI,66023,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",270,6.96,14480,1997
14851,MI,66099,All Other Health Service Workers,8630,9.89,20580,1997
14852,MI,67000,Cleaning and Building Service Occupations,**,*,*,1997
14853,MI,67002,Maids and Housekeeping Cleaners,25310,7.12,14810,1997
14854,MI,67005,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",67160,9.62,20010,1997
14855,MI,67099,All Other Cleaning and Building Service Workers,7830,9.60,19960,1997
14856,MI,68000,Personal Service Occupations,**,*,*,1997
14857,MI,68002,Barbers,**,8.29,17250,1997
14858,MI,68005,"Hairdressers, Hairstylists, and Cosmetologists",11720,8.47,17620,1997
14859,MI,68021,"Ushers, Lobby Attendants, and Ticket Takers",2730,5.89,12260,1997
14860,MI,68023,Baggage Porters and Bellhops,400,6.62,13780,1997
14861,MI,68032,"Wardrobe, and Locker and Dressing Room Attendants",180,9.31,19360,1997
14862,MI,68035,Personal and Home Care Aides,9410,7.36,15320,1997
14863,MI,68038,Child Care Workers,12190,7.38,15360,1997
14864,MI,68041,Funeral Attendants,1180,7.52,15650,1997
14865,MI,69000,Other Service Occupations,**,*,*,1997
14866,MI,69999,All Other Service Workers,12650,8.71,18110,1997
14867,MI,70000,"Agricultural, Forestry, Fishing, and Related Occupations",,,,
14868,MI,72000,First-Line Supervisors and Managers/Supervisors - Agricultural and Related Workers,**,*,*,1997
14869,MI,72002,"First-Line Supervisors and Managers/Supervisors - Agricultural, Forestry, Fishing, and Related Workers",1340,12.02,25010,1997
14870,MI,73000,Timber Cutting and Logging Occupations,**,*,*,1997
14871,MI,73011,Logging Tractor Operators,380,11.57,24070,1997
14872,MI,79000,"Other Agricultural, Forestry, Fishing, and Related Occupations",**,*,*,1997
14873,MI,79016,Animal Trainers,140,9.33,19410,1997
14874,MI,79017,"Animal Caretakers, Except Farm",2260,7.42,15420,1997
14875,MI,79036,Sprayers/Applicators,1130,11.42,23750,1997
14876,MI,79041,"Laborers, Landscaping and Groundskeeping",24100,8.99,18700,1997
14877,MI,79999,"All Other Agricultural, Forestry, Fishing, and Related Workers",2830,11.56,24050,1997
14878,MI,80000,"Production, Construction, Operating, Maintenance, and Material Handling Occupations",,,,
14879,MI,81000,"First-Line Supervisors and Managers/Supervisors - Production, Construction, Maintenance, and Related Workers",**,*,*,1997
14880,MI,81002,"First-Line Supervisors and Managers/Supervisors - Mechanics, Installers, and Repairers",13450,21.88,45510,1997
14881,MI,81005,First-Line Supervisors and Managers/Supervisors - Construction Trades and Extractive Workers,7890,20.33,42280,1997
14882,MI,81008,First-Line Supervisors and Managers/Supervisors - Production and Operating Workers,27620,20.91,43500,1997
14883,MI,81011,First-Line Supervisors and Managers/Supervisors - Transportation and Material-Moving Machine and Vehicle Operators,3120,18.95,39420,1997
14884,MI,81099,"All Other First-Line Supervisors and Managers/Supervisors - Production, Construction, Maintenance, and Related Workers",10340,20.25,42130,1997
14885,MI,83000,Inspectors and Related Occupations,**,*,*,1997
14886,MI,83002,"Precision Inspectors, Testers, and Graders",8000,17.62,36650,1997
14887,MI,83099,"All Other Inspectors, Testers, and Related Workers",2100,11.11,23110,1997
14888,MI,85000,"Mechanics, Installers, and Repairers",**,*,*,1997
14889,MI,85110,Machinery Maintenance Mechanics,14700,18.18,37820,1997
14890,MI,85113,"Machinery Maintenance Mechanics, Sewing Machines",280,18.18,37820,1997
14891,MI,85116,"Machinery Maintenance Mechanics, Marine Equipment",660,10.64,22140,1997
14892,MI,85119,All Other Machinery Maintenance Mechanics,880,15.41,32050,1997
14893,MI,85123,Millwrights,8050,20.20,42020,1997
14894,MI,85126,"Refractory Materials Repairers, Except Brickmasons",130,17.64,36700,1997
14895,MI,85132,"Maintenance Repairers, General Utility",36260,11.89,24740,1997
14896,MI,85302,Automotive Mechanics,19860,15.38,31990,1997
14897,MI,85305,Automotive Body and Related Repairers,7780,16.13,33540,1997
14898,MI,85308,Motorcycle Repairers,290,13.12,27290,1997
14899,MI,85311,Bus and Truck Mechanics and Diesel Engine Specialists,7890,15.10,31400,1997
14900,MI,85314,"Mobile Heavy Equipment Mechanics, Except Engines",2420,14.74,30670,1997
14901,MI,85317,Rail Car Repairers,380,16.90,35140,1997
14902,MI,85321,Farm Equipment Mechanics,940,10.83,22520,1997
14903,MI,85323,Aircraft Mechanics,2160,16.68,34690,1997
14904,MI,85511,Signal or Track Switch Maintainers,350,17.87,37170,1997
14905,MI,85514,Radio Mechanics,200,13.06,27160,1997
14906,MI,85599,"All Other Communications Equipment Mechanics, Installers, and Repairers",700,14.04,29200,1997
14907,MI,85702,Telephone and Cable Television Line Installers and Repairers,6360,15.59,32420,1997
14908,MI,85705,Data Processing Equipment Repairers,1010,12.66,26320,1997
14909,MI,85708,Electronic Home Entertainment Equipment Repairers,820,11.98,24930,1997
14910,MI,85721,"Powerhouse, Substation, and Relay Electricians",**,22.03,45820,1997
14911,MI,85726,"Station Installers and Repairers, Telephone",**,17.68,36770,1997
14912,MI,85728,"Electrical Installers and Repairers, Transportation Equipment",450,14.17,29480,1997
14913,MI,85799,"All Other Electrical and Electronic Equipment Mechanics, Installers, and Repairers",2570,14.61,30390,1997
14914,MI,85902,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",8280,15.65,32550,1997
14915,MI,85914,Camera and Photographic Equipment Repairers,100,14.89,30980,1997
14916,MI,85917,Watchmakers,100,11.68,24300,1997
14917,MI,85923,Locksmiths and Safe Repairers,**,12.94,26920,1997
14918,MI,85928,Mechanical Control and Valve Installers and Repairers,460,18.41,38290,1997
14919,MI,85932,Elevator Installers and Repairers,**,22.99,47820,1997
14920,MI,85935,Riggers,150,16.57,34460,1997
14921,MI,85938,"Installers and Repairers, Manufactured Buildings, Mobile Homes, and Travel Trailers",1020,11.45,23820,1997
14922,MI,85944,Gas Appliance Repairers,250,15.78,32830,1997
14923,MI,85947,Coin and Vending Machine Servicers and Repairers,1140,12.82,26670,1997
14924,MI,85956,"Menders, Garments, Linens, and Related",170,7.70,16010,1997
14925,MI,85999,"All Other Mechanics, Installers, and Repairers",15990,17.13,35630,1997
14926,MI,87000,Construction Trades and Extractive Occupations,**,*,*,1997
14927,MI,87102,Carpenters,26400,15.20,31610,1997
14928,MI,87105,Ceiling Tile Installers and Acoustical Carpenters,380,18.91,39330,1997
14929,MI,87108,Drywall Installers,1600,16.71,34750,1997
14930,MI,87111,Tapers,710,16.55,34420,1997
14931,MI,87114,Lathers,220,21.61,44950,1997
14932,MI,87202,Electricians,27800,20.34,42310,1997
14933,MI,87302,Brickmasons,3530,18.24,37950,1997
14934,MI,87308,Hard Tile Setters,580,16.31,33920,1997
14935,MI,87311,Concrete and Terrazzo Finishers,3930,15.62,32490,1997
14936,MI,87314,Reinforcing Metal Workers,310,17.58,36570,1997
14937,MI,87317,Plasterers and Stucco Masons,370,20.62,42890,1997
14938,MI,87402,"Painters and Paperhangers, Construction and Maintenance",7530,14.14,29420,1997
14939,MI,87502,"Plumbers, Pipefitters, and Steamfitters",14550,20.98,43640,1997
14940,MI,87508,Pipelayers,1570,17.46,36310,1997
14941,MI,87511,Septic Tank Servicers and Sewer Pipe Cleaners,480,15.03,31260,1997
14942,MI,87605,"Floor Layers, Except Carpet, Wood, and Hard Tiles",160,17.20,35770,1997
