,st,occ_code,occ_title,tot_emp,h_mean,a_mean,year
164,AL,31212,"Health Assessment and Treatment Teachers, Postsecondary",120,*,54240,1997
165,AL,31213,"Communications Teachers, Postsecondary",140,*,26770,1997
166,AL,31214,"English Language and Literature Teachers, Postsecondary",870,*,35690,1997
167,AL,31215,"Foreign Language and Literature Teachers, Postsecondary",160,*,40190,1997
168,AL,31218,"Art, Drama, and Music Teachers, Postsecondary",600,*,36980,1997
169,AL,31222,"Engineering Teachers, Postsecondary",290,*,66190,1997
170,AL,31223,"Architecture Teachers, Postsecondary",**,*,53300,1997
171,AL,31224,"Mathematical Sciences Teachers, Postsecondary",730,*,37640,1997
172,AL,31226,"Computer Science Teachers, Postsecondary",320,*,41730,1997
173,AL,31231,"Anthropology and Sociology Teachers, Postsecondary",60,*,36940,1997
174,AL,31233,"Economics Teachers, Postsecondary",80,*,41260,1997
175,AL,31235,"History Teachers, Postsecondary",180,*,32350,1997
176,AL,31236,"Political Science Teachers, Postsecondary",80,*,43490,1997
177,AL,31237,"Psychology Teachers, Postsecondary",220,*,31270,1997
178,AL,31239,"All Other Social Sciences Teachers, Postsecondary",410,*,42520,1997
179,AL,31242,"Business Teachers, Postsecondary",650,*,41330,1997
180,AL,31246,"Criminal Justice and Law Enforcement Teachers, Postsecondary",60,*,32000,1997
181,AL,31247,"Social Work Teachers, Postsecondary",30,*,41820,1997
182,AL,31252,"Education Teachers, Postsecondary",370,*,36320,1997
183,AL,31254,"Philosophy and Religion Teachers, Postsecondary",70,*,28480,1997
184,AL,31258,"Parks, Recreation, Leisure, and Fitness Studies Teachers, Postsecondary",50,*,34750,1997
185,AL,31262,"Home Economics Teachers, Postsecondary",**,*,35850,1997
186,AL,31299,All Other Postsecondary Teachers,2650,*,50000,1997
187,AL,31303,"Teachers, Preschool",2820,7.46,15520,1997
188,AL,31304,"Teachers, Kindergarten",4210,*,30180,1997
189,AL,31305,"Teachers, Elementary School",17430,*,33070,1997
190,AL,31308,"Teachers, Secondary School",18430,*,33650,1997
191,AL,31311,"Teachers, Special Education",5200,*,34510,1997
192,AL,31314,"Teachers and Instructors, Vocational Education and Training",5910,16.96,35280,1997
193,AL,31317,"Instructors, Nonvocational Education",890,9.11,18950,1997
194,AL,31321,"Instructors and Coaches, Sports and Physical Training",4680,13.34,27740,1997
195,AL,31323,Farm and Home Management Advisors,400,16.95,35250,1997
196,AL,31399,All Other Teachers and Instructors,1540,*,28010,1997
197,AL,31502,"Librarians, Professional",2280,16.81,34960,1997
198,AL,31505,"Technical Assistants, Library",880,8.90,18510,1997
199,AL,31508,Audio-Visual Specialists,160,14.25,29650,1997
200,AL,31511,"Curators, Archivists, Museum Technicians, and Conservators",60,18.46,38400,1997
201,AL,31514,Vocational and Educational Counselors,2230,17.52,36450,1997
202,AL,31517,Instructional Coordinators,1600,19.01,39540,1997
203,AL,31521,"Teacher Aides, Paraprofessional",15230,6.24,12980,1997
204,AL,32000,"Health Practitioners, Technologists, Technicians, and Related Health Occupations",**,*,*,1997
205,AL,32102,Physicians and Surgeons,5700,50.46,104960,1997
206,AL,32105,Dentists,910,45.58,94800,1997
207,AL,32108,Optometrists,300,37.29,77550,1997
208,AL,32111,Podiatrists,80,34.27,71280,1997
209,AL,32113,Chiropractors,90,46.77,97280,1997
210,AL,32114,Veterinarians and Veterinary Inspectors,500,22.87,47560,1997
211,AL,32199,All Other Health Diagnosing and Treating Practitioners,60,29.50,61350,1997
212,AL,32302,Respiratory Therapists,1490,15.40,32020,1997
213,AL,32305,Occupational Therapists,770,24.86,51710,1997
214,AL,32308,Physical Therapists,1320,26.47,55070,1997
215,AL,32314,Speech-Language Pathologists and Audiologists,900,17.17,35710,1997
216,AL,32317,Recreational Therapists,150,14.37,29890,1997
217,AL,32399,All Other Therapists,730,15.92,33120,1997
218,AL,32502,Registered Nurses,29410,17.72,36860,1997
219,AL,32505,Licensed Practical Nurses,16120,10.42,21670,1997
220,AL,32508,Emergency Medical Technicians,2430,8.68,18060,1997
221,AL,32511,Physician Assistants,470,20.71,43070,1997
222,AL,32514,"Opticians, Dispensing and Measuring",700,10.02,20830,1997
223,AL,32517,Pharmacists,2880,27.01,56180,1997
224,AL,32519,Pharmacy Technicians and Aides,2610,7.57,15750,1997
225,AL,32521,Dietitians and Nutritionists,620,17.53,36460,1997
226,AL,32523,Dietetic Technicians,520,7.33,15250,1997
227,AL,32902,Medical and Clinical Laboratory Technologists,2010,16.22,33730,1997
228,AL,32905,Medical and Clinical Laboratory Technicians,2080,12.18,25340,1997
229,AL,32908,Dental Hygienists,2240,12.08,25120,1997
230,AL,32911,Medical Records Technicians,1490,8.99,18690,1997
231,AL,32913,Radiation Therapists,160,18.56,38600,1997
232,AL,32914,Nuclear Medicine Technologists,260,17.86,37140,1997
233,AL,32919,Radiologic Technologists,2540,14.43,30010,1997
234,AL,32923,Electroneurodiagnostic Technologists,60,13.26,27580,1997
235,AL,32925,Cardiology Technologists,780,13.53,28150,1997
